Descrição,Preço antes,Preço atual,Link,Frete
Nissan March March 1.0 12v S (flex),49900 reais,49900 reais,https://carro.mercadolivre.com.br/MLB-3125547408-nissan-march-10-completo-12v-sv-2019-flex-manual-_JM#position=29&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Fiat Palio Palio 1.0 Economy Fire Flex 8v 2p,19900 reais,19900 reais,https://carro.mercadolivre.com.br/MLB-3620667882-fiat-palio-palio-10-economy-fire-flex-8v-2p-flex-manual-_JM#position=30&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Renegade 1.3 T270 Turbo Flex Sport At6,117380 reais,117380 reais,https://carro.mercadolivre.com.br/MLB-3315392839-jeep-renegade-13-t270-turbo-flex-sport-at6-_JM#position=31&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Fiat Bravo 1.8 16v Essence Flex Dualogic 5p,36890 reais,36890 reais,https://carro.mercadolivre.com.br/MLB-3315192367-fiat-bravo-fiat-bravo-essence-18-flex-2013-impecavel-_JM#position=32&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Mitsubishi Asx Asx 2.0 4x2 16v Gasolina 4p Automático,61800 reais,61800 reais,https://carro.mercadolivre.com.br/MLB-3454906192-asx-20-4x2-16v-gasolina-4p-automatico-_JM#position=33&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Hyundai Ix35 2.0 Gls 2wd Flex Aut. 5p,112888 reais,112888 reais,https://carro.mercadolivre.com.br/MLB-3276408229-hyundai-ix35-20-mpfi-gls-16v-2017-teto-solar-topo-de-linha-_JM#position=34&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Mitsubishi Lancer Lancer Hl-t 2.0 16v 160cv Aut.,64590 reais,64590 reais,https://carro.mercadolivre.com.br/MLB-3658109872-lancer-hl-t-20-160cv-automatico-completo-2018-prata-lindo-_JM#position=35&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Renault Duster Duster 2.0 16v Dynamique (aut) (flex),55990 reais,55990 reais,https://carro.mercadolivre.com.br/MLB-3627902252-renault-duster-flex-automatico-_JM#position=36&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Renegade 1.3 T270 Turbo Sport,116890 reais,116890 reais,https://carro.mercadolivre.com.br/MLB-3229234259-jeep-renegade-13-t270-turbo-sport-_JM#position=37&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Honda City City 1.5 Lx 16v Flex 4p Automático,84900 reais,84900 reais,https://carro.mercadolivre.com.br/MLB-3638773176-city-15-lx-4p-automatico-2019-_JM#position=38&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Compass 1.3 T270 Turbo Flex Sport At6,158890 reais,158890 reais,https://carro.mercadolivre.com.br/MLB-3315439579-jeep-compass-13-t270-turbo-flex-sport-at6-_JM#position=39&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Jeep Renegade 1.3 T270 Turbo Flex Longitude At6,131350 reais,131350 reais,https://carro.mercadolivre.com.br/MLB-3315418593-jeep-renegade-13-t270-turbo-flex-longitude-at6-_JM#position=40&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Ford Fiesta Fiesta 1.6 8v Flex/class 1.6 8v Flex 5p,29990 reais,29990 reais,https://carro.mercadolivre.com.br/MLB-3505288532-ford-fiesta-fiesta-16-8v-flexclass-16-8v-flex-5p-flex-ma-_JM#position=41&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Chevrolet Onix 1.4 Ltz 5p,61890 reais,61890 reais,https://carro.mercadolivre.com.br/MLB-3616984102-chevrolet-onix-gm-onix-ltz-14-flex-2017-top-de-linha-unico-_JM#position=42&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Honda Civic 2.0 16v Ex,103499 reais,103499 reais,https://carro.mercadolivre.com.br/MLB-3278858769-honda-civic-20-16v-ex-_JM#position=43&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Volkswagen Fusca Fusca 1500,29890 reais,29890 reais,https://carro.mercadolivre.com.br/MLB-3277227531-volkswagen-fusca-1500-gasolina-manual-_JM#position=44&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Ford Ka Ka 1.0 Flex,24900 reais,24900 reais,https://carro.mercadolivre.com.br/MLB-3125428983-ford-ka-10-flex-2011-basico-manual-_JM#position=45&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Bmw X1 X1 2.0 Sdrive20i (aut),79870 reais,79870 reais,https://carro.mercadolivre.com.br/MLB-3297985177-bmw-x1-20-sdrive20i-aut-gasolina-automatico-_JM#position=46&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Hyundai Tucson Tucson Gls 1.6 Turbo 16v Aut.,156990 reais,156990 reais,https://carro.mercadolivre.com.br/MLB-2651800311-tucson-16-aut-2020-_JM#position=47&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
Honda Hr-v Hr-v 1.8 16v Flex Lx 4p Automático,113900 reais,113900 reais,https://carro.mercadolivre.com.br/MLB-3325970223-hr-v-18-lx-automatico-2020-_JM#position=48&search_layout=grid&type=item&tracking_id=4a8b0e76-303a-44c9-83af-b4e45ff1e23d,Frete acombinar
